graph_id,n,actions,case,base_seed,display_seed,rng_seed,requested_s,min_actual_s,max_actual_s,avg_actual_s,min_cost,max_cost
medium_n100_s2_a3_case11_seed53,100,3,11,42,53,42917843,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case12_seed54,100,3,12,42,54,42917844,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case13_seed55,100,3,13,42,55,42917845,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case14_seed56,100,3,14,42,56,42917846,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case15_seed57,100,3,15,42,57,42917847,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case16_seed58,100,3,16,42,58,42917848,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case17_seed59,100,3,17,42,59,42917849,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case18_seed60,100,3,18,42,60,42917850,2,1,2,1.909091,1.0,20.0
medium_n100_s2_a3_case19_seed61,100,3,19,42,61,42917851,2,1,2,1.909091,1.0,20.0
medium_n200_s2_a3_case0_seed42,200,3,0,42,42,43835432,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case1_seed43,200,3,1,42,43,43835433,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case2_seed44,200,3,2,42,44,43835434,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case3_seed45,200,3,3,42,45,43835435,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case4_seed46,200,3,4,42,46,43835436,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case5_seed47,200,3,5,42,47,43835437,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case6_seed48,200,3,6,42,48,43835438,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case7_seed49,200,3,7,42,49,43835439,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case8_seed50,200,3,8,42,50,43835440,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case9_seed51,200,3,9,42,51,43835441,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case10_seed52,200,3,10,42,52,43835442,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case11_seed53,200,3,11,42,53,43835443,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case12_seed54,200,3,12,42,54,43835444,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case13_seed55,200,3,13,42,55,43835445,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case14_seed56,200,3,14,42,56,43835446,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case15_seed57,200,3,15,42,57,43835447,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case16_seed58,200,3,16,42,58,43835448,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case17_seed59,200,3,17,42,59,43835449,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case18_seed60,200,3,18,42,60,43835450,2,1,2,1.904523,1.0,20.0
medium_n200_s2_a3_case19_seed61,200,3,19,42,61,43835451,2,1,2,1.904523,1.0,20.0
